                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0547,                 3.6707,                 4.2198,                0.00375,                0.72471,                0.00604,                 0.0023,                 2.5667,                 3.4536,                 4.1254,                  0.073,                  0.003,                  0.003
                      1,                 3.0688,                  3.581,                  4.133,                0.00389,                 0.7408,                0.00775,                0.00289,                 2.5911,                 3.9476,                 4.0758,                0.04504,              0.0060396,              0.0060396
                      2,                 3.1308,                 3.5157,                  4.056,                0.00173,                0.36318,                0.00788,                0.00262,                 2.6076,                 3.9236,                 3.9888,               0.017018,              0.0090178,              0.0090178
                      3,                 3.1134,                  3.358,                 3.9346,                0.02686,                0.09071,                0.01682,                0.00438,                 2.7596,                 3.8413,                 3.8832,               0.009703,               0.009703,               0.009703
                      4,                 3.0364,                 3.2324,                 3.7275,                0.54845,                0.23383,                0.11395,                0.02681,                 2.6824,                 19.334,                 4.1086,               0.009703,               0.009703,               0.009703
                      5,                 2.8747,                 3.1165,                 3.5252,                0.09973,                0.50166,                0.13088,                0.03754,                 2.7676,                 18.262,                 5.0081,               0.009604,               0.009604,               0.009604
                      6,                 2.8363,                 3.0707,                   3.39,                0.09312,                0.50564,                 0.1924,                0.07526,                 2.6293,                  11.27,                 3.8542,               0.009505,               0.009505,               0.009505
                      7,                 2.7064,                 2.9394,                 3.2526,                0.53597,                0.24876,                0.05419,                0.01755,                 2.4462,                 4.0226,                 3.3317,               0.009406,               0.009406,               0.009406
                      8,                 2.6206,                 2.7731,                 3.1585,                0.66726,                0.19154,                0.18742,                0.06104,                 2.4707,                 3.7867,                 3.4955,               0.009307,               0.009307,               0.009307
                      9,                 2.4875,                 2.7034,                 3.0762,                0.20349,                0.18773,                0.17705,                0.08561,                 2.4247,                 3.0718,                 3.5275,               0.009208,               0.009208,               0.009208
                     10,                 2.3402,                 2.6054,                 2.8959,                0.59655,                0.21144,                0.19571,                0.07545,                  2.514,                 3.2738,                 3.4604,               0.009109,               0.009109,               0.009109
                     11,                 2.3398,                 2.6025,                 2.8499,                0.29757,                0.33705,                0.22799,                0.10443,                 2.2924,                 2.8547,                  3.208,                0.00901,                0.00901,                0.00901
                     12,                 2.2095,                 2.5073,                 2.7452,                0.23644,                0.26219,                0.22137,                0.09402,                 2.3076,                 2.8264,                 3.1635,               0.008911,               0.008911,               0.008911
                     13,                  2.099,                 2.4549,                 2.6547,                0.19647,                0.45489,                0.21195,                0.08207,                 2.3252,                 2.7136,                 3.1827,               0.008812,               0.008812,               0.008812
                     14,                 2.0604,                 2.4242,                 2.6091,                0.24261,                0.44494,                0.22392,                0.09305,                  2.255,                 2.6407,                 3.1187,               0.008713,               0.008713,               0.008713
                     15,                 2.0728,                 2.4026,                 2.5825,                0.39073,                0.46639,                0.23276,                0.11352,                 2.2356,                 2.6282,                  3.093,               0.008614,               0.008614,               0.008614
                     16,                 1.9573,                   2.35,                 2.4994,                0.36099,                 0.4942,                0.25279,                0.12389,                 2.1162,                 2.5641,                 2.9964,               0.008515,               0.008515,               0.008515
                     17,                 1.9164,                 2.3096,                 2.4566,                0.39327,                0.49917,                0.25203,                0.11169,                 2.2917,                 2.8468,                 3.2781,               0.008416,               0.008416,               0.008416
                     18,                 1.9286,                 2.2789,                 2.4552,                0.36851,                0.46086,                 0.2437,                0.11757,                 2.0989,                 2.4745,                  2.994,               0.008317,               0.008317,               0.008317
                     19,                 1.9337,                 2.2921,                  2.443,                0.42579,                0.46086,                0.24849,                0.12353,                 2.1084,                 2.5455,                 2.9726,               0.008218,               0.008218,               0.008218
                     20,                 1.8211,                 2.1512,                 2.3359,                0.36175,                0.39784,                0.22084,                0.11361,                 2.1143,                 3.0043,                 3.0238,               0.008119,               0.008119,               0.008119
                     21,                 1.8266,                 2.1984,                 2.3276,                0.37313,                 0.4534,                0.21895,                0.09101,                  2.343,                 2.9174,                 3.4084,                0.00802,                0.00802,                0.00802
                     22,                 1.8313,                 2.2258,                 2.3525,                0.34297,                0.42985,                0.20581,                0.08975,                 2.4607,                 3.0998,                 3.5729,               0.007921,               0.007921,               0.007921
                     23,                 1.8016,                 2.1454,                 2.2831,                0.42609,                0.48806,                0.24479,                0.12246,                 2.0713,                 2.4981,                 2.9095,               0.007822,               0.007822,               0.007822
                     24,                 1.8121,                  2.204,                 2.3053,                0.44268,                0.43002,                0.30012,                0.15202,                 1.9373,                 2.4346,                 2.8617,               0.007723,               0.007723,               0.007723
                     25,                 1.7823,                 2.1662,                 2.2756,                0.39381,                0.44975,                0.27029,                0.13866,                 1.9067,                 2.5035,                 2.8021,               0.007624,               0.007624,               0.007624
                     26,                 1.7627,                 2.1538,                 2.2822,                0.38406,                 0.4534,                0.25449,                0.11341,                 2.1944,                 2.8188,                 3.2569,               0.007525,               0.007525,               0.007525
                     27,                 1.7703,                 2.1754,                 2.2773,                0.44331,                0.46451,                0.25918,                0.12289,                 2.0344,                  2.614,                 3.0041,               0.007426,               0.007426,               0.007426
                     28,                 1.7554,                  2.192,                 2.2676,                0.48668,                0.38673,                0.31798,                0.15842,                 2.0168,                 2.4936,                 2.9047,               0.007327,               0.007327,               0.007327
                     29,                 1.7158,                 2.1787,                 2.2356,                 0.4344,                0.45735,                 0.3207,                0.17645,                 1.9551,                 2.4124,                 2.8621,               0.007228,               0.007228,               0.007228
                     30,                 1.7368,                 2.1475,                 2.2296,                0.43827,                0.43864,                0.29005,                0.15866,                 2.0804,                 2.5096,                 2.9662,               0.007129,               0.007129,               0.007129
                     31,                  1.698,                 2.1178,                 2.2107,                0.47211,                 0.4262,                0.28701,                0.12734,                  2.096,                 2.6291,                 3.1515,                0.00703,                0.00703,                0.00703
